participant,block,trial,resp,RT,f,eq
LN,1,9,0,0.23,8406.87252591,4.18402772
LN,1,9,0,0.23,9802.02902128,-0.88053934
LN,1,9,0,0.23,11410.92098301,0.80364114
LN,1,9,0,0.23,13266.29230024,5.34701818
LN,1,9,0,0.23,15405.90316702,2.15563114
LN,1,9,0,0.23,17873.29857123,-2.1958159
LN,1,9,0,0.23,20718.69451459,-2.94637969
LN,1,9,0,0.23,24000,-3.26233608
LN,1,9,1,0.23,0,-10.44877867
LN,1,9,1,0.23,107.23874129,4.98896045
LN,1,9,1,0.23,230.90626491,-3.92076308
LN,1,9,1,0.23,373.51943078,6.08027763
LN,1,9,1,0.23,537.98067721,4.6411327
LN,1,9,1,0.23,727.63709087,4.14979549
LN,1,9,1,0.23,946.34852608,0.96756167
LN,1,9,1,0.23,1198.56615988,1.23888181
LN,1,9,1,0.23,1489.42308164,2.74170742
LN,1,9,1,0.23,1824.83876082,-4.69001542
LN,1,9,1,0.23,2211.63951892,3.46306079
LN,1,9,1,0.23,2657.69745762,2.19314256
LN,1,9,1,0.23,3172.09067045,2.68216768
LN,1,9,1,0.23,3765.28799853,-2.04641206
LN,1,9,1,0.23,4449.36209061,-7.15381446
LN,1,9,1,0.23,5238.23510351,3.76264281
LN,1,9,1,0.23,6147.96204348,4.19563354
LN,1,9,1,0.23,7197.05751481,-1.98467443
LN,1,9,1,0.23,8406.87252591,9.23769789
LN,1,9,1,0.23,9802.02902128,0.46054252
LN,1,9,1,0.23,11410.92098301,7.38710112
LN,1,9,1,0.23,13266.29230024,2.09293831
LN,1,9,1,0.23,15405.90316702,-10.17133009
LN,1,9,1,0.23,17873.29857123,-2.67476325
LN,1,9,1,0.23,20718.69451459,-3.85926101
LN,1,9,1,0.23,24000,5.56207176
LN,1,10,0,0.221,0,5.99890528
LN,1,10,0,0.221,107.23874129,1.37952616
LN,1,10,0,0.221,230.90626491,-6.6298779
LN,1,10,0,0.221,373.51943078,2.32143036
LN,1,10,0,0.221,537.98067721,6.96438761
LN,1,10,0,0.221,727.63709087,4.26348153
LN,1,10,0,0.221,946.34852608,2.52739555
LN,1,10,0,0.221,1198.56615988,8.19562572
LN,1,10,0,0.221,1489.42308164,-1.10709215
LN,1,10,0,0.221,1824.83876082,5.99714074
LN,1,10,0,0.221,2211.63951892,0.62371983
LN,1,10,0,0.221,2657.69745762,9.21085814
LN,1,10,0,0.221,3172.09067045,3.00396885
LN,1,10,0,0.221,3765.28799853,-3.45311399
LN,1,10,0,0.221,4449.36209061,6.09840607
LN,1,10,0,0.221,5238.23510351,4.60326299
LN,1,10,0,0.221,6147.96204348,1.43545506
LN,1,10,0,0.221,7197.05751481,-3.7413581
LN,1,10,0,0.221,8406.87252591,-7.85080294
LN,1,10,0,0.221,9802.02902128,3.27031957
LN,1,10,0,0.221,11410.92098301,-3.34207132
LN,1,10,0,0.221,13266.29230024,3.79040141
LN,1,10,0,0.221,15405.90316702,9.67107515
LN,1,10,0,0.221,17873.29857123,-10.20581616
LN,1,10,0,0.221,20718.69451459,4.81672966
LN,1,10,0,0.221,24000,3.9217138
LN,1,10,1,0.221,0,-0.64731851
LN,1,10,1,0.221,107.23874129,-6.22964119
LN,1,10,1,0.221,230.90626491,5.82321809
LN,1,10,1,0.221,373.51943078,6.18040057
LN,1,10,1,0.221,537.98067721,0.92941925
LN,1,10,1,0.221,727.63709087,1.99086116
LN,1,10,1,0.221,946.34852608,-2.28628787
LN,1,10,1,0.221,1198.56615988,3.80683584
LN,1,10,1,0.221,1489.42308164,-4.2875006
LN,1,10,1,0.221,1824.83876082,-0.65091039
LN,1,10,1,0.221,2211.63951892,-4.35287185
LN,1,10,1,0.221,2657.69745762,-2.51820395
LN,1,10,1,0.221,3172.09067045,-0.24325732
LN,1,10,1,0.221,3765.28799853,-0.45852763
LN,1,10,1,0.221,4449.36209061,1.78345567
LN,1,10,1,0.221,5238.23510351,5.77785413
LN,1,10,1,0.221,6147.96204348,-2.26475708
LN,1,10,1,0.221,7197.05751481,-3.0483163
LN,1,10,1,0.221,8406.87252591,-2.49853908
LN,1,10,1,0.221,9802.02902128,5.55418086
LN,1,10,1,0.221,11410.92098301,-7.02166579
LN,1,10,1,0.221,13266.29230024,-4.76095068
LN,1,10,1,0.221,15405.90316702,-4.89271374
LN,1,10,1,0.221,17873.29857123,2.81169964
LN,1,10,1,0.221,20718.69451459,-5.71458373
LN,1,10,1,0.221,24000,12.31166602
LN,1,11,0,0.28,0,-0.05002763
LN,1,11,0,0.28,107.23874129,-3.30123155
LN,1,11,0,0.28,230.90626491,1.24398854
LN,1,11,0,0.28,373.51943078,-3.21464402
LN,1,11,0,0.28,537.98067721,5.75466902
LN,1,11,0,0.28,727.63709087,0.17248202
LN,1,11,0,0.28,946.34852608,10.00210529
LN,1,11,0,0.28,1198.56615988,-5.60976052
LN,1,11,0,0.28,1489.42308164,-1.16518167
LN,1,11,0,0.28,1824.83876082,3.43954716
LN,1,11,0,0.28,2211.63951892,-3.26392428
LN,1,11,0,0.28,2657.69745762,-2.96483206
LN,1,11,0,0.28,3172.09067045,1.23586056
LN,1,11,0,0.28,3765.28799853,-1.46531033
LN,1,11,0,0.28,4449.36209061,1.12178336
LN,1,11,0,0.28,5238.23510351,-5.56351236
