subj,trial,block,sex,age,date,stim,stim_order,segment,segment_time,pitch,response,rt
3,13,1,m,20,23-May-2016,Sub3_Trial13_1,1,0,0,-16.1756,False,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_1,1,1,1,-64.520016,False,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_1,1,2,2,11.035163,False,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_1,1,3,3,-30.589047,False,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_1,1,4,4,-50.93721,False,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_1,1,5,5,-29.264121,False,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_1,1,6,6,69.616571,False,2.907
3,14,1,m,20,23-May-2016,Sub3_Trial14_0,0,0,0,29.776317,False,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_0,0,1,1,-27.277373,False,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_0,0,2,2,-16.000766,False,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_0,0,3,3,-40.04582,False,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_0,0,4,4,-17.257374,False,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_0,0,5,5,-103.377698,False,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_0,0,6,6,-58.210747,False,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_1,1,0,0,-66.94739,True,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_1,1,1,1,-87.126788,True,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_1,1,2,2,56.753639,True,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_1,1,3,3,-0.6327779999999983,True,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_1,1,4,4,-133.607953,True,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_1,1,5,5,-56.19254599999999,True,4.185
3,14,1,m,20,23-May-2016,Sub3_Trial14_1,1,6,6,-57.975415999999996,True,4.185
3,15,1,m,20,23-May-2016,Sub3_Trial15_0,0,0,0,89.78679,False,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_0,0,1,1,-73.98712,False,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_0,0,2,2,-8.019464,False,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_0,0,3,3,-80.512962,False,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_0,0,4,4,76.665784,False,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_0,0,5,5,-29.098246000000003,False,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_0,0,6,6,46.281971,False,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_1,1,0,0,48.095146,True,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_1,1,1,1,-33.387785,True,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_1,1,2,2,54.082198000000005,True,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_1,1,3,3,-9.176089,True,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_1,1,4,4,-15.458503,True,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_1,1,5,5,-82.900376,True,3.915
3,15,1,m,20,23-May-2016,Sub3_Trial15_1,1,6,6,-117.691857,True,3.915
3,16,1,m,20,23-May-2016,Sub3_Trial16_0,0,0,0,-122.250027,False,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_0,0,1,1,-24.986967,False,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_0,0,2,2,-47.859247,False,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_0,0,3,3,-33.547308,False,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_0,0,4,4,-23.161424,False,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_0,0,5,5,-12.45633,False,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_0,0,6,6,-133.07789,False,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_1,1,0,0,5.214366,True,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_1,1,1,1,7.505255,True,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_1,1,2,2,-118.863076,True,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_1,1,3,3,-78.244976,True,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_1,1,4,4,-24.493378,True,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_1,1,5,5,-11.394176999999999,True,1.773
3,16,1,m,20,23-May-2016,Sub3_Trial16_1,1,6,6,139.977707,True,1.773
3,17,1,m,20,23-May-2016,Sub3_Trial17_0,0,0,0,-98.666915,True,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_0,0,1,1,-12.511358000000001,True,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_0,0,2,2,-79.598811,True,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_0,0,3,3,-8.503982999999998,True,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_0,0,4,4,-52.230592,True,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_0,0,5,5,-11.379364000000002,True,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_0,0,6,6,-30.605083,True,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_1,1,0,0,9.288623999999999,False,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_1,1,1,1,38.635401,False,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_1,1,2,2,70.03164,False,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_1,1,3,3,-24.541306,False,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_1,1,4,4,78.92813,False,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_1,1,5,5,-76.252644,False,2.183
3,17,1,m,20,23-May-2016,Sub3_Trial17_1,1,6,6,-22.45544,False,2.183
3,18,1,m,20,23-May-2016,Sub3_Trial18_0,0,0,0,-38.356156,False,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_0,0,1,1,-57.615736,False,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_0,0,2,2,77.034587,False,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_0,0,3,3,42.432029,False,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_0,0,4,4,24.17751,False,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_0,0,5,5,51.127438,False,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_0,0,6,6,110.116118,False,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_1,1,0,0,-18.850246,True,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_1,1,1,1,-7.145997000000001,True,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_1,1,2,2,-36.45509,True,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_1,1,3,3,-0.6197359999999996,True,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_1,1,4,4,-46.311107,True,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_1,1,5,5,-54.105061,True,3.172
3,18,1,m,20,23-May-2016,Sub3_Trial18_1,1,6,6,-45.335934,True,3.172
3,19,1,m,20,23-May-2016,Sub3_Trial19_0,0,0,0,46.278558,False,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_0,0,1,1,-30.0131,False,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_0,0,2,2,-62.728117999999995,False,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_0,0,3,3,-16.753381000000005,False,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_0,0,4,4,73.50954,False,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_0,0,5,5,-81.189296,False,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_0,0,6,6,-45.858457,False,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_1,1,0,0,81.125252,True,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_1,1,1,1,35.347413,True,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_1,1,2,2,-128.220774,True,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_1,1,3,3,-95.018664,True,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_1,1,4,4,-18.565142,True,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_1,1,5,5,-39.483918,True,2.531
3,19,1,m,20,23-May-2016,Sub3_Trial19_1,1,6,6,-95.567523,True,2.531
3,20,1,m,20,23-May-2016,Sub3_Trial20_0,0,0,0,15.310705999999996,True,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_0,0,1,1,55.86475200000001,True,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_0,0,2,2,-77.63692,True,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_0,0,3,3,-66.774413,True,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_0,0,4,4,68.095831,True,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_0,0,5,5,2.067107,True,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_0,0,6,6,-48.568595,True,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_1,1,0,0,-76.216829,False,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_1,1,1,1,44.643877,False,2.115
